Timestamp,Value,Is_Attack
0,1.0,1
1,1.0,1
2,0.2370605234653907,1
3,0.828561353782375,0
4,0.2508066545743317,1
5,1.0,1
6,0.2780898023383791,1
7,0.3466245845740001,1
8,1.0,1
9,0.9905641555120286,1
10,0.9934164219794176,1
11,1.0,1
12,0.2625403685782271,1
13,0.2648193521952871,1
14,0.2485187562418193,1
15,0.7716492546822447,0
16,0.25778042920246863,1
17,1.0,1
18,0.23608543622002498,1
19,1.0,1
20,1.0,1
21,0.9999985753656995,1
22,0.9993417846613719,1
23,0.6714836934939769,0
24,0.36271396197936895,1
25,0.7620983422961074,0
26,0.244271823864431,1
27,1.0,1
28,0.25652775448759063,1
29,0.8308835581670836,0
30,0.7637561088942924,1
31,0.3635068563022216,1
32,1.0,1
33,0.9999985753656995,1
34,0.9999985753656995,1
35,1.0,1
36,1.0,1
37,0.9999985753656995,1
38,0.9999985753656995,1
39,0.2634355530880925,1
40,0.999780594887124,1
41,1.0,1
42,1.0,1
43,0.5506243157182671,0
44,1.0,1
45,1.0,1
46,0.999780594887124,1
47,0.2737193343353714,1
48,1.0,1
49,0.355787288918489,1
50,0.270422958540526,1
51,1.0,1
52,1.0,1
53,1.0,1
54,1.0,1
55,0.9940746373180457,1
56,0.8308022105112474,0
57,0.8229705229538848,0
58,0.8173249384673803,0
59,0.2474056766767807,1
60,0.8316071466507892,0
61,0.3762622207197135,1
62,0.8146469751497637,0
63,0.36408005052385534,1
64,0.5566655616967376,0
65,0.3737453115431258,1
66,0.26291188090027695,1
67,1.0,1
68,0.26756987898639994,1
69,0.8301978881167617,0
70,0.3573545772036129,1
71,0.9870536737060115,1
72,1.0,1
73,0.3725272060090196,1
74,0.2646043248855462,1
75,1.0,1
76,0.8316740629935169,0
77,1.0,1
78,0.999780594887124,1
79,0.24342142313455403,1
80,1.0,1
81,1.0,1
82,0.2525993954887971,1
83,1.0,1
84,1.0,1
85,0.9999985753656995,1
86,1.0,1
87,1.0,1
88,0.5608561957279997,0
89,0.999780594887124,1
90,0.26029011948678554,1
91,0.999780594887124,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,0.6291628372138992,0
98,1.0,1
99,1.0,1
100,0.2585520578053129,1
101,1.0,1
102,1.0,1
103,0.26518103678153776,1
104,1.0,1
105,1.0,1
106,0.8299221232546726,0
107,0.2574453527117852,1
108,0.25473843341243463,1
109,1.0,1
110,1.0,1
111,0.999780594887124,1
112,0.25987380671757476,1
113,1.0,1
114,0.7599247586658779,0
115,0.24416968324954927,1
116,0.740882807922312,0
117,0.2710274981761036,1
118,1.0,1
119,1.0,1
120,1.0,1
121,0.83029770929001,0
122,0.98880891460902,1
123,1.0,1
124,0.26997705048335036,1
125,0.24229168860900185,1
126,1.0,1
127,0.7549808846785888,0
128,0.8318859246746864,0
129,0.2558993469355004,1
130,1.0,1
131,0.365284724928972,1
132,0.9927582066407893,1
133,0.37142652605138815,1
134,0.9999985753656995,1
135,1.0,1
136,1.0,1
